,date of post,job title,company name,location,industry,years of experience,requirement,responsibility,job description
1291,26-Oct-21,Research Assistant,Infotoo International Limited,Kwun Tong,Information Technology,3 years,,,"['Scope of work', 'Image Processing, and', 'Computer Vision', 'Artificial Intelligence', 'Duty', 'Implementing AI/Algorithms', 'Program performance optimization', 'Result simulation and testing', 'Data sample handling/labelling', 'Reading and Composing technical documents']"
1292,1-Nov-21,Digital Product Manager,Konew Financial Express Ltd,Central,Financial Services,5 years,"['Passionate about the FinTech industry', 'At least 5 years of relevant experience as a Product Manager', 'Bachelor degree or above in Business, Digital Product Design, Information Technology, Information System, or other relevant disciplines', 'Product management experience gained from personal lending business, credit card business or BFSI consulting will be a plus.', 'Experience in product lifecycle management, preferably in agile framework', 'Excellent communication, interpersonal and presentation skills', 'Problem-solving aptitude, Well-organized, self-motivated and able to work under pressure', 'Experience on financial institutes background will be an advantage', 'Proficiency in Chinese and English, both written and verbal communications', 'We offer:']","['Develop and implement product strategies consistent with company vision', 'Conduct competitor analysis, learn from the market and differentiate from competitors', 'Collect and analyze feedback from customers, internal stakeholders, project manager, AI, QA and development team, consolidate them into requirements, features and end products', 'Balance user needs with business goals, questioning and validating assumptions, and ensuring budgets are met and ROI is calculated and delivered', 'Produce and review product requirements documents', 'Track and push development and testing progress', 'Explore new partnership opportunities to expand source of acquisition and at the same time deepen relationship with existing partners', 'Requirements:', 'Passionate about the FinTech industry']","['Konew Financial Express is one of the leading FinTech companies in money lending industry in Hong Kong, Taiwan and China. Konew aims to bring great customer experience to everyone’s financial journey. We strive to improve people’s lives by reinventing financial services through innovative digital technology. We put our people first, whether it’s our customers or our employees.', 'Are you looking to be a part of the most influential company in the FinTech industry and contribute to the FinTech revolution that is changing around us?', 'We are looking for a Digital Product Manager to join our high growth and dynamic Digital team. You will be responsible for our P2P/ Loan FinTech product development. You will transform ideas into strategies and product features, following agile development practices to deliver the final product from start to finish. To succeed in this role, you should be a creative, willing to learn new technology and problem-solver with a passion for the FinTech industry.', 'Main Duties &amp; Responsibilities:', 'Develop and implement product strategies consistent with company vision', 'Conduct competitor analysis, learn from the market and differentiate from competitors', 'Collect and analyze feedback from customers, internal stakeholders, project manager, AI, QA and development team, consolidate them into requirements, features and end products', 'Balance user needs with business goals, questioning and validating assumptions, and ensuring budgets are met and ROI is calculated and delivered', 'Produce and review product requirements documents', 'Track and push development and testing progress']"
1293,26-Oct-21,Cloud Architect Consultant,Hays,,Human Resources Management/Consultancy,,,,"['Global Leading Management Consultancy', 'Your new company', 'Global leading Management Consultancy firm currently undergoing fast expansion. With multiple offices globally, they are one of the prestigious management consulting company. A stable team that continuously expanding and receiving exciting projects from their clients. Currently looking for creative individuals who can bring in innovative ideas to drive improvements to the team.', 'Your new role', 'As an influential member of the business, you will be engaging with clients, helping them to shape their Cloud agenda, develop solution architecture, evaluating alternatives, and creating implementation roadmap for private, public, and hybrid Cloud models. You will be working closely with both technical and client teams to manage and ensures successful solutions delivery.', ""What you'll need to succeed"", ""Bachelor's degree or above, preferably in Computer Science, Computer Engineering, or Statistics"", 'Solid Experience in Designing and Implementing/ Operating IT applications (AWS, Azure, Google) within Financial Services Industry', 'Proven record in Systems Engineering including architecture, explaining system interactions involving data flows, common interfaces, APIs, and other methods.', 'Excellent architectural skills covering application, infrastructure, data, and integration with technical proficiency in systems experience and troubleshooting', 'Strong problem solving and Issue management skill', 'Strong communication and stakeholder management skill', ""What you'll get in return"", 'In return for your commitment, you will be offered with a chance to grow and develop a team. You will be getting a highly rewarding career within a fast-growing organisation. You will have the chance to put in your creativity to drive innovations and breakthrough. You will play an important role to lead the team for success.']"
1294,12-Oct-21,Business Data Analyst,Air Logistics Limited,Lai Chi Kok,Freight Forwarding/Delivery/Shipping,3 years,,"['Analyse the different Data sources and give new insights to the Business Stakeholders', 'Building dynamic reports and dashboards, updating existing reports', 'Creating manuals and deliver training on developed tools', 'Performing data quality checks on reports', 'Determining business requirements for reports and business intelligence solutions', 'Communicating with technical and operational teams to ensure data integrity, security and optimized performance at the report and database level', 'Identifying, communicating and resolving data quality issues, validating datasets to ensure data integrity', 'Required Experience/Education', 'Bachelor’s Degree in Analytics, Information Technology, Computer Science, Statistics, Engineering, Logistics, Supply Chain or another analytical discipline from an accredited college or university or equivalent experience']","['Working in the dynamic environment by managing &amp; analyzing data flows to assist the management team with strategic and tactical direction of our global company. Supporting the Business Development, Financial and Operational regional team by performing data analysis and building BI reports, communicating findings using compelling visualizations that are insightful and easy to read. This will require skills to collect and analyse the end user requirements, assemble data from various sources and produce outputs\xa0in Power BI to identify opportunities for business growth. This position ensures the accuracy, distribution, and integrity of the data.', 'Key Responsibilities:', 'Analyse the different Data sources and give new insights to the Business Stakeholders', 'Building dynamic reports and dashboards, updating existing reports', 'Creating manuals and deliver training on developed tools', 'Performing data quality checks on reports', 'Determining business requirements for reports and business intelligence solutions', 'Communicating with technical and operational teams to ensure data integrity, security and optimized performance at the report and database level', 'Identifying, communicating and resolving data quality issues, validating datasets to ensure data integrity']"
1295,21-Oct-21,Senior Market Analyst (Data Analytics),HKT Enterprise Solutions,Quarry Bay,Telecommunication,1 year,,,"['Your\xa0role', 'You will work in the Marketing Data Analytic Team.\xa0 The major responsibility of this role is to provide high quality insight and facilitate decision making process on business side through data mining and analysis. Major responsibilities include but not limited to the following:', 'Handle large sets of data to analysis the customer behavior and identify new market opportunities and retention strategies', 'Prepare regular management report &amp; dashboards on business performance metrics', 'Analyze marketing trend and identify customer needs by building data-driven attribution models', 'Conduct market research projects to analyze competitors, determine brand perceptions evaluate market penetration; understand customer satisfaction', 'Provide ROI analysis of all marketing campaigns and sales activities (maximize effectiveness)', 'Perform UAT, data testing and monitor project execution to maintain data integrity of marketing data mart', 'Support ad-hoc projects as assigned', 'To succeed this role', 'Degree holder in Marketing or Statistics related discipline', '3 years’ solid experience in data analytics, data mining and customer segmentation with strong programming skill in SQL and Python', 'Familiar in Datamart, BI Dashboard and visualization tool such as Qliksense and Tableau', 'Working experience in telecommunication / mobile / Banking/ IT industry is preferred', 'A marketing expert who possesses a core strength of strategic thinking']"
1296,28-Oct-21,"Consultant (IT Audit / IT Risk), Technology & Management Consulting Services",RSM Hong Kong 羅申美會計師事務所,Causeway Bay,Accounting/Audit/Tax Services,,"['Bachelor Degree in Accounting, Information Management, Computer Science, or other related disciplines.', '1-2 years’ working experience within financial audit,\xa0 IT Audit, IT Security or IT Risk is an advantage.', 'Fresh graduates will also be considered.', 'Strong command of written and oral communication skills (English &amp; Chinese).', 'Confident with excellent presentation skills.', 'Good interpersonal, communication and problem solving skills.', 'RSM Hong Kong offers attractive rewards package to the right candidates. Applicants please send resume, quoting the', 'Ref. TMC', ',\xa0with', 'full career details, availability and expected salary', 'to', 'The\xa0Human Resources\xa0Department, RSM Hong Kong, 29/F, Lee Garden Two, 28 Yun Ping Road, Causeway Bay, Hong Kong', 'or by clicking the', 'Apply Now', 'button and upload your CV', '.']","['Analyze and evaluate client’s IT risks and controls, provide IT risk reduction recommendations, and assist in implementing solutions.', 'Conduct benchmarking and gap analysis with IT risk related industry frameworks (i.e. NIST, ISO, COBIT etc.) and provide recommendations.', 'Conduct audit engagements with numerous engagement team members, include assisting with planning, execution and scheduling staff.', 'Provide IT general controls and application controls audit support to external audit.', 'Determine the objectives, scope and extent of each audit and ensure that the audit is professionally and efficiently completed within deadlines.', 'Prepare and present IT risk reports in a professional and concise manner.', 'Perform security and vulnerability assessment, assist in compliance monitoring review to identify control weaknesses and recommend remedial actions.', 'Provide an advisory role to business units and IT groups to assess security requirements and controls; to enforce security control policies as planned.', 'Requirements:', 'Bachelor Degree in Accounting, Information Management, Computer Science, or other related disciplines.']","['The successful candidates will be working with a team of experienced professionals in one of the world’s largest accounting and consulting firms to provide world-class services on IT Audit and/or IT Risk engagements.', 'The Technology and Management Consulting Practice (TMC) assists clients in managing operational, financial and technology risk as well as designing and implementing process improvements that can lead to increased value, revenue, or cost containment.\xa0\xa0 Along with other Consulting divisions, TMC helps clients across various industries address the increasingly complex strategic, operational, compliance, and governance challenges faced by those responsible for managing or overseeing dynamic businesses.', ""RSM's TMC offerings include:\xa0 Information Technology (IT) Audit, Security &amp; Privacy Services, ISO/ISAE/Reporting, IT Governance Risk and Compliance, Digital Transformation Advisory, ERP/CRM Implementation, IT migration services."", 'Responsibilities:', 'Analyze and evaluate client’s IT risks and controls, provide IT risk reduction recommendations, and assist in implementing solutions.', 'Conduct benchmarking and gap analysis with IT risk related industry frameworks (i.e. NIST, ISO, COBIT etc.) and provide recommendations.', 'Conduct audit engagements with numerous engagement team members, include assisting with planning, execution and scheduling staff.', 'Provide IT general controls and application controls audit support to external audit.', 'Determine the objectives, scope and extent of each audit and ensure that the audit is professionally and efficiently completed within deadlines.', 'Prepare and present IT risk reports in a professional and concise manner.']"
1297,1-Nov-21,財富管理經理/助理分區經理/年薪可達800K以上（適合考慮轉工作人士）,AIA International Limited,North Point,Financial Services,1 year,,,"['作爲有職場經驗的人士，如果你感覺：', '職業發展遇到瓶頸', '，無法晋升，或無法獲得新的成長', '付出與得到不成正比', '，個人收入無法匹配個人能力', '自由時間的支配受限', '，無法實現工作與生活的平衡', '在辦公室政治中浪費了大量心力', '你可以跳出現有舒適圈，爲自己打開另一番天地。', '經歷了社會動蕩，新冠肺炎', '，我們不得不正視一個問題——']"
1298,27-Oct-21,"Assistant Vice President, Team Head, Business Intelligence Systems (Oracle E-Business Suite)",Chong Hing Bank Ltd,Kowloon Bay,Banking,,"['Degree Holder in Computer Science or Information Technology related disciplines', 'Minimum 12 years relevant experience in banking environment of which at least 5 years of leading development team', 'Minimum 5 years’ experience in Oracle E-Business Suite Financial development', 'Experience in interacting with lines of business users', 'Proven track record of successful implementation of all project life cycle stages from requirements gathering through implementation and enhancements', 'Strong knowledge in Oracle E-Business Suite R12 (Financial Modules E.g. GL, AP, FA, FAH)', 'Strong knowledge in Oracle Development (E.g. Oracle Reports, Oracle Forms, PL/SQL, Host Scripts, OA Framework, etc)', 'Strong interpersonal and negotiating skills and an ability to work under pressure', 'Good command in both spoken and written English and Chinese', 'Self-motivated and possess strong leadership, communication, analytical, problem solving, organizing and project management skills']","['Manage the team to deliver and support the Oracle E-Business Suite', 'Coordinate with user management, training and application support, including user inquiries and problem solving', 'Work closely with internal business units to facilitate project from feasibility study to implementation', 'Communication with users to collect and understand user requirements for minor enhancement if necessary', 'Proactively create work requests to enhance current systems to meet new business requirements', 'Lead a team to provide day-to-day production support during office and non-officer hours', 'Quality Control for all project deliverables including technical and changes and ensure the work following system development guidelines and project management guideline', 'Requirements:', 'Degree Holder in Computer Science or Information Technology related disciplines', 'Minimum 12 years relevant experience in banking environment of which at least 5 years of leading development team', 'Minimum 5 years’ experience in Oracle E-Business Suite Financial development', 'Experience in interacting with lines of business users', 'Proven track record of successful implementation of all project life cycle stages from requirements gathering through implementation and enhancements', 'Strong knowledge in Oracle E-Business Suite R12 (Financial Modules E.g. GL, AP, FA, FAH)', 'Strong knowledge in Oracle Development (E.g. Oracle Reports, Oracle Forms, PL/SQL, Host Scripts, OA Framework, etc)', 'Strong interpersonal and negotiating skills and an ability to work under pressure', 'Good command in both spoken and written English and Chinese', 'Self-motivated and possess strong leadership, communication, analytical, problem solving, organizing and project management skills']","['Responsibilities:', 'Manage the team to deliver and support the Oracle E-Business Suite', 'Coordinate with user management, training and application support, including user inquiries and problem solving', 'Work closely with internal business units to facilitate project from feasibility study to implementation', 'Communication with users to collect and understand user requirements for minor enhancement if necessary', 'Proactively create work requests to enhance current systems to meet new business requirements', 'Lead a team to provide day-to-day production support during office and non-officer hours', 'Quality Control for all project deliverables including technical and changes and ensure the work following system development guidelines and project management guideline', 'Requirements:', 'Degree Holder in Computer Science or Information Technology related disciplines', 'Minimum 12 years relevant experience in banking environment of which at least 5 years of leading development team', 'Minimum 5 years’ experience in Oracle E-Business Suite Financial development', 'Experience in interacting with lines of business users', 'Proven track record of successful implementation of all project life cycle stages from requirements gathering through implementation and enhancements', 'Strong knowledge in Oracle E-Business Suite R12 (Financial Modules E.g. GL, AP, FA, FAH)', 'Strong knowledge in Oracle Development (E.g. Oracle Reports, Oracle Forms, PL/SQL, Host Scripts, OA Framework, etc)', 'Strong interpersonal and negotiating skills and an ability to work under pressure']"
1299,28-Oct-21,ICT Business Analyst,Advanced Assembly Materials International Limited,Tsing Yi,Manufacturing,2 years,,,"['Responsibilities', ':', 'Liaising between the ICT department and the executive branch.', 'Acting as an information source and communicator between business branches.', 'Understanding strategic business needs and plans for growth.', 'Enhancing the quality of IT products and services.', 'Analyzing the design of technical systems and business models.', 'Utilizing IT data for business insights.', 'Analyzing business needs.', 'Sourcing and implementing new business technology.']"
1300,22-Oct-21,Junior Claims Automation Analyst,Zurich Insurance (Hong Kong),Quarry Bay,Insurance/Pension Funding,2 years,,,"['Job Summary:', 'You will join the Claims function as Junior Claims Automation Analyst. \xa0Your primary focus will be the construction and management of business rules management system and other automation initiatives and applications such as RPA, to enhance our automation capability, claims service level and customer experience. You will work closely with business stakeholders to identify and understand requirements and opportunities to enhance our automation model', 'Job Accountabilities:', 'Design and implement reliable automation solutions to reduce cycle time and increase accuracy', 'Gather, analyze business requirements, and develop / revamp / simplify process workflows']"
