,date of post,job title,company name,location,industry,years of experience,requirement,responsibility,job description
270,23-Oct-21,BI Data Analyst,Bayou Talent,,Human Resources Management/Consultancy,1 year,"['Higher Diploma or above in Data Science, Computer Engineering, Information Technology, Statistics or related disciplines.', '1 year+ experience in data analysis. data warehouse and BI platform', 'Hands on experience in SQL or Python', 'Experiences in BI Tools will be an advantage', 'Experience in cloud platform is definitely advantage, e.g. Azure, AWS', 'Strong communication and coordination skills, Self-motivated with analytical and problem solving capability.', 'Good command of written and spoken Chinese and English and proficient in Mandarin.']","['Perform data analysis including data extract, data cleaning and data mining', 'Design and develop data report based on user requirements and business needs', 'Assist in preparing presentation materials with\xa0 business insight based on the data analysis findings', 'Work closely with various business unit to implement the action plans and react responsively to any constraints and barrier', 'Job Requirements:', 'Higher Diploma or above in Data Science, Computer Engineering, Information Technology, Statistics or related disciplines.', '1 year+ experience in data analysis. data warehouse and BI platform', 'Hands on experience in SQL or Python', 'Experiences in BI Tools will be an advantage', 'Experience in cloud platform is definitely advantage, e.g. Azure, AWS', 'Strong communication and coordination skills, Self-motivated with analytical and problem solving capability.', 'Good command of written and spoken Chinese and English and proficient in Mandarin.']","['Job Responsibilities:', 'Perform data analysis including data extract, data cleaning and data mining', 'Design and develop data report based on user requirements and business needs', 'Assist in preparing presentation materials with\xa0 business insight based on the data analysis findings', 'Work closely with various business unit to implement the action plans and react responsively to any constraints and barrier', 'Job Requirements:', 'Higher Diploma or above in Data Science, Computer Engineering, Information Technology, Statistics or related disciplines.', '1 year+ experience in data analysis. data warehouse and BI platform', 'Hands on experience in SQL or Python', 'Experiences in BI Tools will be an advantage', 'Experience in cloud platform is definitely advantage, e.g. Azure, AWS', 'Strong communication and coordination skills, Self-motivated with analytical and problem solving capability.']"
271,28-Oct-21,"GroupM | Analytics Executive (3-month contract, renewable)",GroupM Limited,Quarry Bay,Media/Publishing/Printing,,,,"['GroupM Services - Data &amp; Technology is an Analytics, Technology, and consulting group supporting the buying &amp; campaign delivery teams. We combine adtech and martech platform strategy with data science &amp; data engineering expertise, helping our clients make advertising work better for people.', 'We are currently looking for an', 'Analytics Executive', 'on a 3-month contract basis, with possibility to extend to join the GroupM Services Data &amp; Technology team.', 'The Analytics Executive will be responsible for the implementation &amp; support of media performance reporting &amp; analytic solutions, delivered within the GroupM Services buying teams.', 'This person will manage the design, build, and maintenance phases of client reporting projects. Candidates are expected to have knowledge in managing large data sets, while experience with business intelligence tools (e.g. Tableau, PowerBI, Datorama, Data Studio) will be a clear advantage.', 'This person should have excellent oral and written communication skills, strong project management skills, Stakeholder management experience, an eye for process iteration with a focus on delivering high levels of service for client success.', 'In addition, as a member of the GroupM Services Data &amp; Technology Team, you will be guiding GroupM agencies (Mediacom, Mindshare, Wavemaker) , through the delivery of training &amp; enablement plans, coordinating project rollouts.', 'Reporting of the role', 'This role reports to Data Architect – GroupM Services', '3 best things about the job:', 'Be a member of a high performing team focused on technology, data, partners and platforms, a key strategic growth area for GroupM and WPP.', 'Work in an environment that promotes freedom, flexibility, empowerment and diverse working styles to solve real business problems.', 'The opportunity to learn and collaborate with a wide range of stakeholders across all GroupM agencies and business units in HK.', 'Responsibilities of the role:']"
272,29-Oct-21,"Manager / AVP / VP, Data Management",China Construction Bank (Asia) Corporation Limited,,Financial Services,3 years,"['Bachelor / Master degree in Computer Science, Data and Information Management or a related discipline', ""Minimum 3 years' banking experience in information and data management, leads and campaign management, MI reporting with respect to programming and database architecture"", 'Proven experience in leading and driving data quality management initiatives with measurable achievements', 'Track record of experience in data governance projects in banking industry', 'Knowledge of data structures, data systems and tools and related software and data management policies and practices in a complex organizational environment an added advantage', 'Hands on experience in programming language : SAS, VBA, SQL etc.', 'Excellence command of MS Excel (e.g. advanced formulas)', 'Business process analysis skills, including the ability to analyze and document the current processes and organizations that create and manage the client data', 'Excellent project management skill is a must with the ability to get things done through others not directly under his or her supervision', 'Good command of written and spoken English, Chinese and Putonghua', 'Candidates with less experience will be considered for the Manager position while candidates with more experience will be considered for the Vice President position']","[""Follow the guidelines of Data Governance model from Head Office to setup the Bank's own Data Governance framework, and act abide by it"", 'Envision &amp; shape the governance, scope, framework and implementation plan in relationship to data quality management', 'Collaborate effectively with technology, operations/ process, business and other stakeholders to formulate and lead project team on data quality to define data quality governance structure, identify critical data elements, and define data quality dashboards/ KPIs for ongoing monitor and review', 'Perform data quality profiling and analysis, identify issues where applicable', 'Formulate remediation strategy/ approach; drive, coordinate and collaborate with stakeholders on remediation activities; orchestrate between different data quality initiatives', 'Develop MI reports to provide business insight or review business performance', 'Automate the generation of regular reports to minimize human intervention', 'Setup an effective mechanism to do ETL for external data, ensure the readiness and accuracy of data', 'Facilitate the usage of OLAP tools and coordinate its related enhancements', 'Requirements:']","['Responsibilities:', ""Follow the guidelines of Data Governance model from Head Office to setup the Bank's own Data Governance framework, and act abide by it"", 'Envision &amp; shape the governance, scope, framework and implementation plan in relationship to data quality management', 'Collaborate effectively with technology, operations/ process, business and other stakeholders to formulate and lead project team on data quality to define data quality governance structure, identify critical data elements, and define data quality dashboards/ KPIs for ongoing monitor and review', 'Perform data quality profiling and analysis, identify issues where applicable', 'Formulate remediation strategy/ approach; drive, coordinate and collaborate with stakeholders on remediation activities; orchestrate between different data quality initiatives', 'Develop MI reports to provide business insight or review business performance', 'Automate the generation of regular reports to minimize human intervention', 'Setup an effective mechanism to do ETL for external data, ensure the readiness and accuracy of data', 'Facilitate the usage of OLAP tools and coordinate its related enhancements']"
273,25-Oct-21,"Data Engineer – Data Warehouse, ETL Business Intelligence",Talent Fields Hong Kong Company Limited,Others,Human Resources Management/Consultancy,,,,"['He / She will be responsible for application development and ongoing maintenance support of the Data Analytics area with the following scope of duties:', 'Perform user requirement collection, data engineering, systems development, set up and documentation', 'Lead the analyst programmers/programmers by providing guidelines and\xa0 assistance to enable solution development and implementation, with passion to be hands-on with coding', 'Implement software components according to the specifications and guidelines', 'Develop unit test cases, perform comprehensive unit testing &amp; record the results', 'Support user acceptance testing and system implementation', 'Prepare system and operations documents', 'Provide ongoing user and application support', 'The Person', 'University graduate in Computer Science, Information Technology or Data Science related disciplines']"
274,29-Oct-21,System Analyst (Data),HGC Global Communications Limited,Tsing Yi,Telecommunication,5 years,"['Degree holder in Computer Engineering, Information Technology, Statistics or related disciplines.', '5 years of experience in customer analytic, data warehouse and BI platform, preferably in telecommunication industry.', 'Proficient in data analytics design and segmentation with PL/SQL, MS SQL and Python coding or correlation platform.', 'Knowledge, skills and experience in system design and development with all / some of the following technologies:Exposure in Design pattern, Java applications Framework would be an advantage.', 'Operating System: Windows, Linux, IBM AIX;', 'Database / Network: Oracle, MySQL, MS SQL;', 'Programming Language: Java, JavaEE - Web, Website building (e.g. PHP, JavaScript &amp; AngularJS - Jquery, Ajax), APEX, Python, Ruby;', 'Others: BI tools: OBIEE / Discoverer, ETL: ODI, Oracle Weblogic, Web Security, Big-Data tool, like Hadoop / Splunk;', 'Strong communication and coordination skills, Self-motivated with analytical and problem solving capability.', 'Good command of written and spoken Chinese and English and proficient in Mandarin.']","[""Formulate and implement various business strategies and plans for Business Intelligent and data analytics, includes marketing campaigns, data extract, customer list preparation, and promoting throughout the company to achieve the company's business and management. Conduct data design based on user business and technical requirements;"", ""Analyze IB / local business operation, organize the company's annual, quarterly, and monthly production and operation analysis and work plan, supervise and coordinate the implementation among various functional departments accordingly. Prepare business and technical documentations and conduct user training;"", 'Work closely with various business unit to implement the action plans and react responsively to any constraints and barriers;', 'Participate in ad-hoc data / analytic exercise to prepare and analyze customer data.', 'Requirements:', 'Degree holder in Computer Engineering, Information Technology, Statistics or related disciplines.', '5 years of experience in customer analytic, data warehouse and BI platform, preferably in telecommunication industry.', 'Proficient in data analytics design and segmentation with PL/SQL, MS SQL and Python coding or correlation platform.', 'Knowledge, skills and experience in system design and development with all / some of the following technologies:Exposure in Design pattern, Java applications Framework would be an advantage.']","['Responsibilities:', ""Formulate and implement various business strategies and plans for Business Intelligent and data analytics, includes marketing campaigns, data extract, customer list preparation, and promoting throughout the company to achieve the company's business and management. Conduct data design based on user business and technical requirements;"", ""Analyze IB / local business operation, organize the company's annual, quarterly, and monthly production and operation analysis and work plan, supervise and coordinate the implementation among various functional departments accordingly. Prepare business and technical documentations and conduct user training;"", 'Work closely with various business unit to implement the action plans and react responsively to any constraints and barriers;', 'Participate in ad-hoc data / analytic exercise to prepare and analyze customer data.', 'Requirements:', 'Degree holder in Computer Engineering, Information Technology, Statistics or related disciplines.', '5 years of experience in customer analytic, data warehouse and BI platform, preferably in telecommunication industry.']"
275,27-Oct-21,Data Analytics Senior Manager- Banking,Gravitas Recruitment Group,,Human Resources Management/Consultancy,8 years,,,"['One of most- established banking group in APAC. This is an exciting opportunity to join the newly revamped Group Data Team to drive enterprise level data analytics initiatives. Directly reporting to the Chief Data Officer, you will be driving Data centric projects that brings meaningful value to the business across multiple functions within the group. It takes leadership, deep understanding of Data Science life cycle, and extensive business acumen to take up the role.', 'The Scope:', '-Engage business and other stakeholders to uncover data- driven opportunities', ""-Leverage the Group's technical resources to develop Data tools and implement into the business"", ""-Understand and steer the Group's data strategy roadmaps."", '-Be the voice of Data Analytics, educate and upskill business stakeholders into data adoption.', '-Raise awareness on the concepts of data governance, data privacy, and data security', 'The Candidate:', '-7+ years of practical experience in data analytics, data science, machine learning, AI on enterprise level', '-Leadership quality that can oversee projects from both technical and business perspective', '-Excellent communication skills, be the Data Translator with ability to take technical info into laymen terms', '-Language requirement: Cantonese (must), English and Mandarin (good to have)', 'This role is based in', 'Hong Kong', 'and is open to applicants based in Hong Kong solely.']"
276,03-Nov-21,AI Research Manager,Wisers Information Limited,Wan Chai,Information Technology,5 years,,,"['RESPONSIBILITIES', 'Identify and lead frontier research on AI/ML/NLP that are relevant to the Company’s objectives.', 'Propose, manage and/or participate in research collaborations between the Lab and external parties such as universities and research institutions.', 'Assist in preparing research grant proposals and ensuring the successful delivery of funded research projects.', 'Lead a team of researchers to deliver high-quality and high-impact research output, such as research publications or recognitions in AI competitions.', 'REQUIREMENTS', 'Ph.D. in computer science, software engineering, information technology or a related field', 'Minimum 5 years of research experience in AI technologies such as data/text mining, machine learning, deep leaning and natural language processing', 'Proven track record of publications in high-impact AI conferences and journals']"
277,01-Nov-21,Customer and Data Analyst,China Unicom (Hong Kong) Operations Limited,Tsim Sha Tsui,Telecommunication,,,,"['Responsibilities：', '- Responsible for build, develop and maintain data models, reporting systems, data automation systems etc .', '- Perform market research to discover new trends and customer behaviours .', '- Develop processes for effective data analysis and reporting .', '- Extract reports from multiple sources (e.g. operations, sales, customer feedback) and transform raw data into actionable business insights, thus improve business efficiency and increase corporate value .', 'Requirement:', '- Creative “digital” thinking and know how to deliver good customer experience in the digital era', '- Have strong experience in market research and project management', '- Familiarity with business intelligence / data analytical tools', '- Strong analytical skills and organizational abilities', '- Good command of written and spoken English and Chinese', '- Excellent interpersonal and communication skills', '- Experience within digital marketing is a plus', '- Degree holder in Statistics, Data Management, or a related field', '- Minimum 5 years relevant working experience preferably in telecommunication , banking. Solid experience in data analysis is a plus']"
278,"{date}"",""","Senior Engineer (PI) /Engineer (PI), NLP/Machine learning",Hong Kong Applied Science and Technology Research Institute Company Limited (ASTRI),Shatin Area,Information Technology,,,,"['Reference #:\xa02021/PHP/ART/310CP/a-b', 'Job Responsibilities', 'Assist in ITF R&amp;D project as assigned', 'Research and evaluate state-of-the-art AI algorithms prototypes for our projects', 'Develop working prototypes that use techniques of AI/ML/DL to analyze data and devise computational models, in area of text analysis, NER, Knowledge graph.', 'Requirements', 'Graduate in STEM-related discipline such as Computer Science, Data Science, Electronic Engineering, Information Engineering or relevant disciplines, including non-local graduates from a local university of Hong Kong.', 'A bachelor’s degree, master’s degree or a doctoral degree’s holder is welcome to apply', 'For bachelor’s degree holder, they will be considered for the position of Engineering Associate (PI)']"
279,25-Oct-21,Senior Data Analyst,China Unicom (Hong Kong) Operations Limited,Tseung Kwan O,Telecommunication,,,,"['Job Description', '• Translate unstructured business questions into quantitative problems.', '• Provide advanced analytics support and advise on appropriate analytical models based on available data, technology and platform.', '• Make intelligent approximations to the model if required to make it scalable and operatable.', '• Deeply understand the business, be familiar with the business operation mode, build a data analysis framework for business development and support the business, plan data products based on business scenarios and promote the implementation.', '• Sort out the business logic, build a business indicator system, and timely find and locate business problems based on indicators.', 'Job Requirements', '• Bachelor’s degree in Computer Science, Econometrics, Mathematics, Operation Research, Statistics or related disciplines.', '• Minimum 3 years’ work experience in data science with proven track record of leveraging large amount of data to drive significant business impact.', '• Must be proficient in Python. Knowledge of Java, Scala and C++ is a plus.', '• Advanced analytical skills, experience in recommending appropriate algorithm and methodology for problem-solving and decision making, leveraging both logic and creativity.', '• Familiar with machine learning algorithm and libraries (e.g. Scikit-learn, XGBoost, LGBM, TensorFlow etc.).', '• Proficiency in data visualization tools.', '• Advanced analytical skills, experience in recommending appropriate algorithms and methods for problem solving and decision-making, making full use of logic and creativity.', '• Experience on MLOps and DevOps solution architecture design is a plus.']"
