,date of post,job title,company name,location,industry,years of experience,requirement,responsibility,job description
2581,12-Oct-21,System Analyst,aimHigher Consultancy Limited,,Human Resources Management/Consultancy,4 years,,,"['Company Description', 'Our client is one of the world’s leading jewellery manufacturers and exporters. They are now looking for a System Analyst (Focus on Microsoft D365 Finance &amp; Operation) to join the team.', 'Responsibilities', 'Responsible for system analysis and design', 'Handle the process of system implementation and maintenance', 'Guide the programmers in China office', 'Requirements', 'Higher Diploma holder or above in Computer Science or related disciplines', 'Minimum 4 years of experience in Software development or IT projects']"
2582,08-Oct-21,Research Assistant,Emerging Viral Diagnostics (HK) Limited,Tsim Sha Tsui,Medical/Pharmaceutical,,"['Degree in Molecular Biology, Biochemistry, Biotechnology or related fields, or\xa0Higher Diploma with substantial laboratory experience in a biology, chemistry or medical laboratory.', 'Hands-on experience in molecular techniques such as PCR and quantitative PCR.', 'Hardworking and will to work under pressure.', 'Good inter-personal skills.', 'Work Arrangement', '5-day work (Monday to Friday, 9am - 6pm)', 'Salary:', 'Salary negotiable', 'Interested candidates should apply in confidence with date of earliest availability, and current &amp; expected salary by clicking APPLY NOW.', 'Personal data provided will be used for recruitment and related purposes only and strictly in accordance with the relevant Personal Data Policy for Employment. \xa0Applicants who are not contacted within 6 weeks may consider their application unsuccessful and the personal data collected will be destroyed in due course.']","['Plan and perform assay development work includes nucleic acid extraction, PCR, real-time PCR and data analysis.', 'Perform daily laboratory operation such as reagent preparation, equipment maintenance, inventory keeping and QA/QC procedures.', 'Undertake research works assigned by supervisor.', 'Handle any other relevant responsibilities, as assigned from time to time', 'Requirements:', 'Degree in Molecular Biology, Biochemistry, Biotechnology or related fields, or\xa0Higher Diploma with substantial laboratory experience in a biology, chemistry or medical laboratory.', 'Hands-on experience in molecular techniques such as PCR and quantitative PCR.', 'Hardworking and will to work under pressure.', 'Good inter-personal skills.', 'Work Arrangement', '5-day work (Monday to Friday, 9am - 6pm)', 'Salary:', 'Salary negotiable', 'Interested candidates should apply in confidence with date of earliest availability, and current &amp; expected salary by clicking APPLY NOW.', 'Personal data provided will be used for recruitment and related purposes only and strictly in accordance with the relevant Personal Data Policy for Employment. \xa0Applicants who are not contacted within 6 weeks may consider their application unsuccessful and the personal data collected will be destroyed in due course.']","['Responsibilities:', 'Plan and perform assay development work includes nucleic acid extraction, PCR, real-time PCR and data analysis.', 'Perform daily laboratory operation such as reagent preparation, equipment maintenance, inventory keeping and QA/QC procedures.', 'Undertake research works assigned by supervisor.', 'Handle any other relevant responsibilities, as assigned from time to time', 'Requirements:', 'Degree in Molecular Biology, Biochemistry, Biotechnology or related fields, or\xa0Higher Diploma with substantial laboratory experience in a biology, chemistry or medical laboratory.', 'Hands-on experience in molecular techniques such as PCR and quantitative PCR.', 'Hardworking and will to work under pressure.', 'Good inter-personal skills.', 'Work Arrangement', '5-day work (Monday to Friday, 9am - 6pm)', 'Salary:']"
2583,13-Oct-21,2022 OCBC Wing Hang Graduate Talent Programme,OCBC Wing Hang Bank Limited,Sheung Wan,Financial Services,1 year,,,"['Designed for graduates with up to two years of working experience who aspire to carve a career in banking, you will get a head start with our OCBC Wing Hang Graduate\xa0Talent Programme. We have carefully designed a 24-month structured programme with an opportunity to gain exposure from front to back office of the bank to help you build a strong banking foundation to achieve your career goals in the banking industry.', 'By joining the Graduate Talent Programme, you will:', 'Get onboard our 24-month accelerated career programme', 'Achieve a head-start through job rotations', 'Develop broad-based banking knowledge', 'Be guided by career coach / mentor', 'Work on business projects', 'Build your regional network with graduates and businesses across the OCBC Group', ""Here in OCBC Wing Hang Bank, we value the growth of every individual. We are here to help you take on the future of banking with us. We say that there's no"", 'better investment than the one in your own skills and growth.']"
2584,13-Oct-21,Operations Analyst,ZIM Integrated Shipping Services Ltd,Kwun Tong,Freight Forwarding/Delivery/Shipping,2 years,,,"['Key Responsibilities', 'Perform data analysis and ensure operation data correctness', 'Work with partners and tackle various Operational matters', 'Prepare Daily Position Report for Zim vessels also Partner vessels', 'Monitor and confirm ship schedule updates', 'Create and update Voyage Schedules in system', 'Compile Voyage Fuel Report and Voyage Summary', 'Maintain up-to date information of all ship certificates / plans / documents', 'Maintain Off-Hire Reports and Stevedores Damages reports', 'Create bunker requisitions']"
2585,08-Oct-21,Application Engineering Lead,Ampd Energy Limited,Lai Chi Kok,Engineering - Others,3 years,,,"['Summary of the Position', 'You should be motivated, reliable, thorough, and excited about being among the first in the world to work with game-changing products. You will be expected to be able to operate with a degree of autonomy, and be a clear, candid, and effective communicator in both spoken and written English. Come join our mission driven team.', 'Ampd Energy is a values driven company, and we are looking for candidates who are aligned with our core values: Selfless, Never Satisfied, Passionate, Resourceful And Bold.', 'Key Qualifications', 'Bachelor’s degree in engineering is preferred.', 'Experience in creating technical proposals and demonstrated ability to talk technically with customers.', 'Ability to pick up technical concepts quickly and willing to take on new challenges and problems.', 'Ability to collect, digest and feedback customer requirements to the product development team.', 'Strong at calculation and handling data in excel and, ideally, with programming languages like Python.']"
2586,11-Oct-21,Rewards Analyst (Fresh Graduate Welcome),DFI Retail Group DFI零售集團,Quarry Bay,Wholesale / Retail,1 year,,,"['The Job', 'Assist with the development and implementation of the Group Reward strategy and principles at all levels and across all divisions and geographies', 'Provide technical support to reward projects including job evaluation, market data benchmarking, year-end review and linking of performance and pay', 'Work with the Group Reward Manager and HR teams to plan and implement the annual pay &amp; bonus cycle', 'Support the planning &amp; delivery of specific compensation &amp; benefits projects such as review of the Group grade structure, benefit programmes and incentive plans', 'Coordinate the analysis of metrics/ key performance indicators in order to measure the effectiveness of the reward initiatives and programmes', 'The Person', 'Bachelor degree in Human Resources Management, Statistics, Econometrics or other related disciplines', 'Minimum 1\xa0years of relevant reward or compensation &amp; benefits experience; Fresh graduate is also welcome', 'Basic understanding of compensation and benefits theory and practice is a plus', 'Background in FMCG, retail or a service orientated sector or consulting will be an advantage', 'Strong numerical and analytical skills and problem solving ability', 'Ability to work with people from different cultural backgrounds', 'Experienced user of MS Office especially Advanced Excel skills', 'Excellent command of spoken and written English']"
2587,11-Oct-21,System Analyst up to 85k - Permanent Role  (Java / mobile / Oracle / ERP / CRM system),Talent Fields Hong Kong Company Limited,Others,Human Resources Management/Consultancy,,,,"['The successful candidate will be responsible for project implementation, system development, and maintenance support of large scale Oracle ERP implementation projects for our clients. He/she will be involved in the following areas:', '• Hands-on functional design and development in Oracle EBS and its integration with external systems.', '• Perform Unit test, SIT, support UAT and bug fixing.', '• Prepare functional and technical specifications.', '• Carry out Regression Test Cycle management and Production rollout.', '• Prepare related documentations during the project life cycle.', 'The Person', '• Bachelor’s Degree in Computer Science, Engineering, Information Technology or related disciplines', '• A minimum of 4-year experience in IT profession with a minimum of 2 years’ experience in the position of Oracle EBS Solution Analyst / Developer.', '• Practical experience in PL/SQL, Oracle Forms / Reports, XML BI Publisher, Workflow, OA Framework (customizations and extensions), Oracle Application Framework (OAF), JDeveloper.', '• Knowledge of General Ledger, Accounts Payable, Fixed Assets or Purchase Order is an advantage.', '• Good command of spoken and written English and Chinese.', '• Good analytical, interpersonal, leadership and problem solving skills', 'The successful candidate will be responsible for project implementation, system development, and maintenance support of CRM solutions for our clients. He/she will be involved in the following areas:', '• Hands-on functional design and development in CRM solutions and its integration with external systems.', '• Perform Unit test, SIT, support UAT and bug fixing.', '• Prepare functional and technical specifications.', '• Carry out Regression Test Cycle management and Production rollout.', '• Prepare related documentations during the project life cycle.', 'The Person', '• Bachelor’s Degree in Computer Science, Engineering, Information Technology or related disciplines', '• A minimum of 4-year experience in IT profession with a minimum of 2 years’ experience in CRM related area.', '• Practical experience in MSSQL, SQL, PHP, JavaScript, Java, Windows Server Platform.', '• Knowledge in Oracle Siebel CRM or Sugar CRM is highly desirable.', '• Good command of spoken and written English and Chinese.', '• Good analytical, interpersonal, leadership and problem-solving skills.']"
2588,07-Oct-21,"Manager, Business Planning & Portfolio Management (Business Banking)",Bank of China (Hong Kong) Limited,,Financial Services,3 years,"['Degree or above in Business Administration, Statistics, Computer Science or related disciplines', 'At least 3 year experience in data-driven industries/ roles with proven experience and track record in business &amp; portfolio management, data analysis, research', 'Ability to transform big data into actionable insights', 'Work in agile with Scrum master was preferable', 'Proactive, innovative with strong problem-solving capacity and strategic thinking', 'Strong influential skills to promote collaboration and engagement with key stakeholders', 'Hands on experience in Python / SAS / SQL / Excel VBA', 'Hands on experience in visualization tool, e.g. Tableau']","['Strong business acumen preferably with business banking experience', 'Prepare and monitor annual P&amp;L, budgeting and Business Plan', 'Monitor business performance, financial KPIs and segment movement on customer and channel level', 'Drive business insights with market research, competitor benchmarking &amp; ongoing customer portfolio study', 'Conduct customer analysis, enhance understanding of customer portfolio, monitor changes in customer behaviors and identify opportunity for cross-selling and services enhancement', 'Establish a single of customer lead generation and identify opportunities to improve lead quality', 'Initiate, develop and implement data applications such as online browsing behavior, 3rd party data collaboration, triggering event to channels/ customers', 'Conduct management updates with regular &amp; ad-hoc financial and business analysis in report, spreadsheet and presentation format', 'Work closely with Business Finance, Customer Intelligence, IT etc to drive the smoothen implementation of all data initiatives', 'Job Requirements:']","['Job Responsibilities:', 'Strong business acumen preferably with business banking experience', 'Prepare and monitor annual P&amp;L, budgeting and Business Plan', 'Monitor business performance, financial KPIs and segment movement on customer and channel level', 'Drive business insights with market research, competitor benchmarking &amp; ongoing customer portfolio study', 'Conduct customer analysis, enhance understanding of customer portfolio, monitor changes in customer behaviors and identify opportunity for cross-selling and services enhancement', 'Establish a single of customer lead generation and identify opportunities to improve lead quality', 'Initiate, develop and implement data applications such as online browsing behavior, 3rd party data collaboration, triggering event to channels/ customers', 'Conduct management updates with regular &amp; ad-hoc financial and business analysis in report, spreadsheet and presentation format', 'Work closely with Business Finance, Customer Intelligence, IT etc to drive the smoothen implementation of all data initiatives']"
2589,07-Oct-21,Wealth and Asset Management Analyst,EY,,Accounting/Audit/Tax Services,,,,"['At EY, you’ll have the chance to build a career as unique as you are, with the global scale, support, inclusive culture and technology to become the best version of you. And we’re counting on your unique voice and perspective to help EY become even better, too. Join us and build an exceptional experience for yourself, and a better working world for all.', 'EY Knowledge helps EY to win in the market by providing timely insights through an agile, client-first organization. In support of this vision, this analyst position will see you provide deep insights and perspectives on the Wealth &amp; Asset Management (WAM) industry to senior EY partners, identifying opportunities for EY products and services and leading and mentoring more junior analysts to develop their commercial and analytical skills.', 'The opportunity:', ""The WAM Analyst is responsible for providing impactful analysis and insight to EY's WAM practitioners, with a focus on APAC, to support their business development, service delivery and external market positioning efforts."", 'In this role you will combine strong analytical skills and a strategic mindset with real-world perspectives driven by an understanding of client issues and broader marketplace drivers.', 'You will have a key role to play in supporting EY’s WAM network, within the APAC region as well as connecting APAC globally, collaborating across other industries and across all service lines to further strengthen the quality of your insights.', 'You will work within a global team of analysts, collaborating closely with other business functions to bring your insights to the practice and EY’s clients.', 'Your key responsibilities include:', 'Providing deep analytical insight and understanding of the APAC WAM market, with responsibility for the execution of strategic and complex initiatives in accordance with the annually created knowledge plan.']"
2590,12-Oct-21,System Analyst (Technology Development),Logistics and Supply Chain MultiTech R&D Centre Limited,Pok Fu Lam,Information Technology,5 years,"['Bachelor’s Degree in Computer Science, Computer Engineering, Information Engineering or related disciplines', '5 years of experience in web-based and client/server application development', 'Sound knowledge in software system architectures, information system analysis, design and implementation', 'Experience in user requirement gathering, system analysis and software development lifecycle', 'Experience in server technologies and using cloud-based infrastructures is preferred', 'Good communication and interpersonal skills', 'Proficient in English and Cantonese', 'We offer successful candidates an attractive remuneration package with two years contract and with renewal possibilities.', 'To apply, please send your CV and salary expectations to our Human Resources Section. \xa0LSCM R&amp;D Centre is an equal opportunity employer, personal data collected will be used for recruitment purposes only.', 'By mail: Human Resources Section, Logistics and Supply Chain MultiTech R&amp;D Centre Limited, Level 11, Cyberport 2, 100 Cyberport Road, Hong Kong.', 'By email via ""Apply Now""']","['Technology research and evaluation', 'Collect and analyse user requirements', 'System analysis and design', 'System / network architectural design', 'Software implementation and integration', 'Collaborate with technology partners', 'Testing and documentation', 'Product demonstration and presentations', 'Leading junior programmers', 'Requirements:']","['The incumbents will join our research and development team to take a leading role in the study, design and development of software systems using technologies including AI, web programming, RFID, mobile application, and cloud systems.', 'Responsibilities:', 'Technology research and evaluation', 'Collect and analyse user requirements', 'System analysis and design', 'System / network architectural design', 'Software implementation and integration', 'Collaborate with technology partners', 'Testing and documentation', 'Product demonstration and presentations']"
