,date of post,job title,company name,location,industry,years of experience,requirement,responsibility,job description
3871,07-Oct-21,Business / System Analyst,Man Hing Hong Properties Company Limited,Central,Property Management / Consultancy,,"['Degree in Computer Science/Information Technology or related disciplines', 'At least 3 years relevant experience with business intelligence, or system integration roles', 'Familiar with SQL Server, Oracle or other RDBMS', 'Experienced in development of BI reporting tools like QlikView, Tableau and Power BI', 'Hands-on experience in web services, SSRS/SSAS/SSIS, and other system integration', 'Sound knowledge in business accounting', 'Exposure to Property Management industry is a plus']","['Responsible for design, develop and maintain web components and system integrations', 'Provide support to the business process workflow system', 'Communicate with business units to enhancement systems for different DX projects', 'Drive and support full project implementation cycle', 'Perform and coordinate testing, data conversion &amp; user training', 'Requirements:', 'Degree in Computer Science/Information Technology or related disciplines', 'At least 3 years relevant experience with business intelligence, or system integration roles', 'Familiar with SQL Server, Oracle or other RDBMS', 'Experienced in development of BI reporting tools like QlikView, Tableau and Power BI', 'Hands-on experience in web services, SSRS/SSAS/SSIS, and other system integration', 'Sound knowledge in business accounting', 'Exposure to Property Management industry is a plus']","['Responsibilities:', 'Responsible for design, develop and maintain web components and system integrations', 'Provide support to the business process workflow system', 'Communicate with business units to enhancement systems for different DX projects', 'Drive and support full project implementation cycle', 'Perform and coordinate testing, data conversion &amp; user training', 'Requirements:', 'Degree in Computer Science/Information Technology or related disciplines', 'At least 3 years relevant experience with business intelligence, or system integration roles', 'Familiar with SQL Server, Oracle or other RDBMS', 'Experienced in development of BI reporting tools like QlikView, Tableau and Power BI', 'Hands-on experience in web services, SSRS/SSAS/SSIS, and other system integration', 'Sound knowledge in business accounting', 'Exposure to Property Management industry is a plus']"
3872,08-Oct-21,Technical Lead (Web & Mobile Development),WCL Solution Limited,Cheung Sha Wan,Information Technology,8 years,,,"['RESPONSIBILITIES:', 'Assisting IT head to design and create frontend solution to deliver to meeting business initiatives', 'Conduct ECM &amp; Digital Transformation Implementations to our clients', 'Perform function enhancement, system deployment and documentation', 'Lead local and offshore team to develop the best technical design and approach for web and mobile application', 'REQUIREMENTS:', 'Degree / Higher Diploma in Engineering, IT, Computer Science or equivalent disciplines', '8+ years’ hands-on experience in frontend framework', '4+ years’ experience in HTML5, CSS3, JavaScript, Vue.js/ReactJS', 'Experience with API integration using JSON and RESTful web services', 'Experience on Git, CI/CD, Firebase and MySQL', 'Experience in UI &amp; UX knowledge and responsive design is a plus', 'Should experience in vendor management', 'Eager to learn new products and solutions', 'Good communication in Mandarin and English']"
3873,07-Oct-21,Treasury System Projects: Python AP / Programmer - Major Bank (Fresh Grad Welcome),IT Solutions Ltd.,,Information Technology,1 year,"['Degree in Computer Science or related fields.', '0-3 years experience in', 'machine learning', 'using Python or other similar tools.', 'Banking experience is highly preferred.', 'Fresh Graduates are also welcome to apply.', 'Benefits:', 'Attractive remuneration will be offered to the successful candidates.', 'Excellent opportunity to further develop your professional skills in the Major Bank.']","['System Analysis, Design and Programming of', 'Treasury\xa0Systems Projects', '.', 'Managing Data Warehouse analytics application using Python.', 'Requirements:', 'Degree in Computer Science or related fields.', '0-3 years experience in', 'machine learning', 'using Python or other similar tools.', 'Banking experience is highly preferred.', 'Fresh Graduates are also welcome to apply.']","['We are searching\xa0for a high-calibre Python', 'Analyst Programmers /', 'Programmers\xa0 to work on\xa0interesting', 'Treasury System Projects, i.e. Algorithmic Trading / Equities, Derivatives, Bonds, FX\xa0in a Major Bank', '.', 'Responsibilities:', 'System Analysis, Design and Programming of', 'Treasury\xa0Systems Projects', '.', 'Managing Data Warehouse analytics application using Python.', 'Requirements:', 'Degree in Computer Science or related fields.', '0-3 years experience in', 'machine learning']"
3874,08-Oct-21,Associate Professor / Assistant Professor (Artificial Intelligence and Educational Technology),The Education University of Hong Kong,,Education,,,,"['(Ref: AssoProf/AsstProf/MIT/0921)', 'Department of Mathematics and Information Technology Faculty of Liberal Arts and Social Sciences', 'The Department is now seeking enthusiastic, qualified and highly dedicated person to take part in a number of teaching and research activities in artificial intelligence and educational technology. The appointee is expected to teach undergraduate and postgraduate courses, conduct research, supervise student projects and field experiences, and undertake administrative duties as assigned.', 'For information on the Department, please visit this website:', 'http://www.eduhk.hk/mit.', 'Salary will be commensurate with qualifications and experience.', 'Initial appointment will be made on a fixed-term contract. Fringe benefits include contract-end gratuity, leave, medical and dental benefits, and where applicable, housing benefits.', 'Application Forms are obtainable from (a) http://www.eduhk.hk/hro/applyfor.htm; or (b) the Human Resources Office, 3/F, Cho Kwai Chee Foundation Building, The Education University of Hong Kong, 10 Lo Ping Road, Tai Po, New Territories, Hong Kong. The completed Application Form, together with full CV and a statement of their suitability for the post, should be sent to the Human Resources Office by email via ""Apply Now"" or by post to the above address.', 'Review of applications will start from 4 October 2021, and will continue until the post is filled', '. Applications which are not made in prescribed form, or incomplete, or late, or not signed, or without the required supporting documents may not be considered. Please quote the reference number of the position in the application and mark “Strictly Confidential – Job Application” on the envelope. Personal data provided by applicants will be used for recruitment and other employment- related purposes. For details of the Personal Information Collection Statement, please refer to', 'http://www.eduhk.hk/jobsopp/index.php?glang=en']"
3875,08-Oct-21,Jr. Oracle e-Business Technical Consultant,MIT Technology System Limited,,Information Technology,3 years,"['Bachelor’s Degree in Computer Science, Engineering, Information Technology or related disciplines', 'Minimum 3 years of experience in IT profession with a minimum of 1 years’ experience in the position of Oracle EBS Developer', 'Experience in Oracle E-Business Suit R12.2 Finance and Procurement modules', 'Good Knowledge of PL/SQL, Oracle Forms / Reports, Personalization, BI / XML Publisher and WebADI template development', 'Good Knowledge of Oracle Open Interface, APIs and standard table structures', 'Experienced with Workflow or OA Framework (customizations and extensions) development is a plus', 'Experienced with Cloud integration is a plus', 'Good command of spoken and written English and Chinese', 'Good analytical, interpersonal and problem-solving skills', 'Positive attitude, fast learning, energetic, able to perform in challenging environment', 'We offer a competitive remuneration package to the right candidate as well as an opportunity to grow within the Company. Interested parties should send us full resume with current &amp; expected salary, and availability.']","['Design and develop technical solutions for Oracle EBS modules (mainly on Finance and Procurement)', 'Perform unit, system and interface testing in support of Oracle EBS product', 'Develop technical and functional documentation such as requirements specifications, program designs, test plans and user guides', 'Troubleshoot issues and provide supporting to our clients', 'Requirements:', 'Bachelor’s Degree in Computer Science, Engineering, Information Technology or related disciplines', 'Minimum 3 years of experience in IT profession with a minimum of 1 years’ experience in the position of Oracle EBS Developer', 'Experience in Oracle E-Business Suit R12.2 Finance and Procurement modules', 'Good Knowledge of PL/SQL, Oracle Forms / Reports, Personalization, BI / XML Publisher and WebADI template development', 'Good Knowledge of Oracle Open Interface, APIs and standard table structures']","['Responsibilities:', 'Design and develop technical solutions for Oracle EBS modules (mainly on Finance and Procurement)', 'Perform unit, system and interface testing in support of Oracle EBS product', 'Develop technical and functional documentation such as requirements specifications, program designs, test plans and user guides', 'Troubleshoot issues and provide supporting to our clients', 'Requirements:', 'Bachelor’s Degree in Computer Science, Engineering, Information Technology or related disciplines', 'Minimum 3 years of experience in IT profession with a minimum of 1 years’ experience in the position of Oracle EBS Developer', 'Experience in Oracle E-Business Suit R12.2 Finance and Procurement modules']"
3876,08-Oct-21,"Application Support (Inhouse ERP Support, Welcome Fresh Graduate)","Pasona Asia Co., Limited",Tsim Sha Tsui,Human Resources Management/Consultancy,1 year,"['Degree in Information Technology, Computer Science or related disciplines', 'Fresh graduates are welcome', 'Experience in the implementation and support of ERP software and reporting tools will be an advantage', 'Able to work under pressure and meet tight deadlines', 'Self-motivated, responsible, well-organized, detail-oriented and willing to learn', 'Excellent interpersonal and communication skills', 'Proficiency in both written and spoken English, Cantonese and Mandarin', 'Business travel to PRC is occasionally required', 'Immediate available is highly preferred', '**Data collected will be used for recruitment purpose only**', '**Interested parties please send resume in ""ENGLISH"" with CURRENT &amp; EXPECTED salary and DATE OF AVAILABILITY or WhatsApp us at 9828 4239 for details**']","['Work closely with Team Leader and users to develop, support and rollout of application systems', 'Play a key role in the System Development Life Cycle, from requirement study, system analysis and design, system development and testing, implementation to maintenance and support', 'Monitor and maintain application system, including trouble-shooting, bug fixing and ad-hoc queries', 'Ensure proper process on testing planning, execution and documentation of all test results', 'Handle any ad-hoc projects as assigned', 'Requirements:', 'Degree in Information Technology, Computer Science or related disciplines', 'Fresh graduates are welcome', 'Experience in the implementation and support of ERP software and reporting tools will be an advantage', 'Able to work under pressure and meet tight deadlines', 'Self-motivated, responsible, well-organized, detail-oriented and willing to learn', 'Excellent interpersonal and communication skills', 'Proficiency in both written and spoken English, Cantonese and Mandarin', 'Business travel to PRC is occasionally required', 'Immediate available is highly preferred', '**Data collected will be used for recruitment purpose only**', '**Interested parties please send resume in ""ENGLISH"" with CURRENT &amp; EXPECTED salary and DATE OF AVAILABILITY or WhatsApp us at 9828 4239 for details**']","['Our client, a reputable Japanese garment manufacturer, is seeking for a high caliber application support to join their team in Hong Kong.', 'Responsibilities:', 'Work closely with Team Leader and users to develop, support and rollout of application systems', 'Play a key role in the System Development Life Cycle, from requirement study, system analysis and design, system development and testing, implementation to maintenance and support', 'Monitor and maintain application system, including trouble-shooting, bug fixing and ad-hoc queries', 'Ensure proper process on testing planning, execution and documentation of all test results', 'Handle any ad-hoc projects as assigned', 'Requirements:', 'Degree in Information Technology, Computer Science or related disciplines', 'Fresh graduates are welcome', 'Experience in the implementation and support of ERP software and reporting tools will be an advantage', 'Able to work under pressure and meet tight deadlines', 'Self-motivated, responsible, well-organized, detail-oriented and willing to learn', 'Excellent interpersonal and communication skills', 'Proficiency in both written and spoken English, Cantonese and Mandarin', 'Business travel to PRC is occasionally required']"
3877,08-Oct-21,IT Support Assistant (***Five-Day Work Week***),In Consulting Group Limited,,Education,1 year,,,"['Job Description', 'With technical support, computer hardware and software installation and maintenance services will be an asset.', 'Web design and creating multimedia skills will be an asset.', 'Knowledge of CCTV installation, film and video editing', ""Provide support to end users' on electronic management system"", 'Skills &amp; Requirements', 'Diploma or above in Computer Science, Information Technology or related disciplines', '0 - 2 years of relevant experience in', 'hardware and software installation and PC support', '. Fresh graduate will also be considered']"
3878,07-Oct-21,Full Stack Developer,Automated Systems (HK) Ltd,,Information Technology,1 year,,,"['Job Highlight', 'There are opportunities for your career promotion every year', 'You will have opportunities to try different projects and enjoy development space in our company, as Public Sector, Banking', 'You will become part of our talented and core team members and work as a part of a team and individually with little supervision', 'Job Responsibilities', 'Responsible for the whole Software Development Life Cycle', 'Work with the team to develop Web application/ backend system', 'Perform application system analysis, design and enhancement', 'Coordinate with internal &amp; external parties to manage and deliver successful technical solutions']"
3879,08-Oct-21,Customer Service Executive,Xcelom Limited,Shatin Area,Laboratory,,"['Higher diploma or above in business or any related disciplines', 'Minimum 1 year\xa0working experience, medical clinic or laboratory experience is highly preferred,', 'f', 'resh graduate also welcomed', 'Proficient in computer applications, such as\xa0MS Office, Chinese typing and English typing', 'Good interpersonal &amp; communication skills with external &amp; internal parties', 'Good command of spoken and written English/Chinese, and conversant in Mandarin is preferable', 'Responsible, detail-minded, self-motivated, pleasant and team player', 'Ability to perform multi-tasks and work under pressure', 'Willing to perform overtime work if necessary', 'Shift duty on weekday (8:30am-5:30pm; 10:30-7:30pm)']","['Deliver good customer service to meet Company’s service standard', 'Receive incoming calls and follow up enquires from Clinics/ Hospital', 'Responsible for sample pickup arrangement, sample registration, reports issuance, billings and daily operational and supporting work', 'Update inventory records and issue inventory reports', 'Perform document entry, updates, filing regularly and work all around CS team', 'Perform ad hoc duties as assigned', 'Job Requirements:', 'Higher diploma or above in business or any related disciplines', 'Minimum 1 year\xa0working experience, medical clinic or laboratory experience is highly preferred,', 'f']","['Job Responsibilities:', 'Deliver good customer service to meet Company’s service standard', 'Receive incoming calls and follow up enquires from Clinics/ Hospital', 'Responsible for sample pickup arrangement, sample registration, reports issuance, billings and daily operational and supporting work', 'Update inventory records and issue inventory reports', 'Perform document entry, updates, filing regularly and work all around CS team', 'Perform ad hoc duties as assigned', 'Job Requirements:', 'Higher diploma or above in business or any related disciplines']"
3880,07-Oct-21,Senior Software Engineer - Backend (C#) - FinTech MNC,BIPO Service North Asia Limited,Causeway Bay,Human Resources Management/Consultancy,,,,"['Company Information', 'Our client is a fasting growing fintech services provider specialized in management consulting, trading and risk-management platform solutions, digital marketing, and business operations.\xa0 They are inviting the high calibre developer to join the thriving team.', 'Job Duties', 'Design and development of backend services / systems / platforms.', 'Write high-quality, clean, elegant, scalable and maintainable code.', 'Build common libraries.', 'Analyze the requirement, design and develop the functionalities based on the product', 'Collaborate with other engineers, product managers, UX designers to build features and products.', 'Mentor the junior developers, and review the pull requests and improve the team code quality.', 'Take part in the DevOp workflow.', 'Requirement', 'B.Sc or higher degree in computer science and related fields.', 'More than 5 years of C# development, and more than 2 years .Net core development.', 'Passionate about coding and programming, innovation and solving challenging problems.']"
